,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
190,Học viện Báo chí và Tuyên truyền,hoc vien bao chi tuyen truyen,hoc vien bao chi tuyen truyen,Quan hệ công chúng (PR),quan he cong chung,quan he cong chung
191,Học viện CN Bưu chính viễn thông,hoc vien cong nghe buu chinh vien thong,hoc vien cong nghe buu chinh vien thong,Truyền thông đa phương tiện,truyen thong da phuong tien,truyen thong da phuong tien
192,Đại học Kinh tế Quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Truyền thông Marketing,truyen thong marketing,marketing
193,đại học luật,dai hoc luat,dai hoc luat,luật dân sự,luat dan su,luat dan su to tung dan su
194,Thpt Hác dich,trung hoc pho thong hac dich,trung hoc pho thong hac dich,Trungg Cáp duoc,trungg cap duoc,CannotFound
195,Trường Đại học Nha Trang,dai hoc nha trang,dai hoc nha trang,Kế toán,ke toan,ke toan
196,Cao Đẳng Giao Thông Vận Tải 3,cao dang giao thong van tai 3,cao dang giao thong van tai 3,công nghệ kĩ thuật o tô,cong nghe ki thuat o to,cong nghe ky thuat o to
197,đại học công nghiệp,dai hoc cong nghiep,dai hoc cong nghiep,công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
198,Bình Dương University,binh duong university,binh duong university,Tài chính - Ngân Hàng,tai chinh ngan hang,tai chinh ngan hang
199,Trường DH kinh tế Quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Thương mại quốc tế,thuong mai quoc te,CannotFound
200,đại học y thái bình ,dai hoc y thai binh,dai hoc y thai binh,bác sĩ đa khoa,bac si da khoa,CannotFound
201,Chuyên Khoa Học Tự Nhiên,chuyen khoa hoc tu nhien,chuyen khoa hoc tu nhien,Toán - Tin,toan tin,toan tin
202,Hotel Insitute Montreux,hotel insitute montreux,hotel insitute montreux,Hospitality Management - Specialization in Marketing,hospitality management specialization in marketing,CannotFound
203,thcs bình sơn,trung hoc co so binh son,trung hoc co so binh son,học chữ,hoc chu,CannotFound
204,Danang University of Economics,danang university of economics,danang university of economics,Marketing,marketing,marketing
205,Viet Nam National University Of Agriculture,viet nam national university of agriculture,viet nam national university of agriculture,Information Technology,information technology,cong nghe thong tin
206,Fpt university,fpt university,fpt university,software,software,ky thuat phan mem
207,trường đại học võ trường toản,dai hoc vo truong toan,dai hoc vo truong toan,trung cấp dược,trung cap duoc,CannotFound
208,ĐH tài chính kế toán HN,dai hoc tai chinh ke toan ha noi,dai hoc tai chinh ke toan ha noi,Tài chính tín dụng,tai chinh tin dung,CannotFound
209,Tây Nguyên University,tay nguyen university,tay nguyen university,cử nhân văn,cu nhan van,CannotFound
210,ĐH Huế,dai hoc hue,dai hoc hue,luật,luat,luat
211,Đại học Ngoại Thương,dai hoc ngoai thuong,dai hoc ngoai thuong,Kinh tế ngoại thương,kinh te ngoai thuong,CannotFound
212,Đại học Ngoại Thương,dai hoc ngoai thuong,dai hoc ngoai thuong,Thạc sỹ Thương mại,thac sy thuong mai,CannotFound
213,vạn xuân,van xuan,van xuan,công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
214,cao đẳng kinh tế công nghệ Hồ chí minh,cao dang kinh te cong nghe hcm,cao dang kinh te cong nghe hcm,công nghệ sinh học,cong nghe sinh hoc,cong nghe sinh hoc
215,Hanoi Univercity,hanoi univercity,hanoi univercity,IT,it,CannotFound
216,tôn đức thắng university,ton duc thang university,ton duc thang university,công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
217,Đại Học Sư Phạm Kỹ Thuật Hưng Yên,dai hoc su pham ky thuat hung yen,dai hoc su pham ky thuat hung yen,Công nghệ máy và thiết bị hóa chất dầu khí,cong nghe may thiet bi hoa chat dau khi,CannotFound
218,Đại học FPT,dai hoc fpt,dai hoc fpt,Kỹ nghệ phần mềm,ky nghe phan mem,CannotFound
219,Hult international Business School,hult international business school,hult international business school,International Marketing,international marketing,CannotFound
220,Trường Đại Học Kinh Tế Tp.HCM,dai hoc kinh te hcm,dai hoc kinh te hcm,Kế toán - Kiểm toán,ke toan kiem toan,kiem toan
221,ĐH Công Nghệ Thực Phẩm,dai hoc cong nghe thuc pham,dai hoc cong nghe thuc pham,Quản Trị Kinh Doanh,quan tri kinh doanh,quan tri kinh doanh
222,Cao Đẳng Nguyễn Văn Trỗi,cao dang nguyen van troi,cao dang nguyen van troi,Du Lịch - Khách sạn,du lich khach san,quan tri du lich khach san
223,ĐH công nghiệp thực phẩm,dai hoc cong nghiep thuc pham,dai hoc cong nghiep thuc pham,Chế biến thực phẩm,che bien thuc pham,CannotFound
224,Đại học Bách Khoa Hà Nội,dai hoc bach khoa ha noi,dai hoc bach khoa ha noi,Công nghệ sinh học,cong nghe sinh hoc,cong nghe sinh hoc
225,Đại học Kinh tế Quốc Dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
226,Đại học Bách Khoa Hà Nội,dai hoc bach khoa ha noi,dai hoc bach khoa ha noi,Thạc sỹ công nghệ sinh học,thac sy cong nghe sinh hoc,cong nghe sinh hoc
227,Viện nghiên cứu Borstel,vien nghien cuu borstel,vien nghien cuu borstel,Tiến sỹ sinh học phân tử tế bào,tien sy sinh hoc phan tu te bao,CannotFound
228,Cao đẳng công nghiệp Hà Nội - khoa điện tử,cao dang cong nghiep ha noi khoa dien tu,cao dang cong nghiep ha noi khoa dien tu,,nan,CannotFound
229,cao đẳng điện tử điện lạnh hà nội,cao dang dien tu dien lanh ha noi,cao dang dien tu dien lanh ha noi,công nghệ thông tin và truyền thông,cong nghe thong tin truyen thong,cong nghe truyen thong
230,University of Economics HCMC,university of economics hcm,university of economics hcm,Thương Mại,thuong mai,thuong mai dien tu
231,UNsw,unsw,unsw,computer enineering,computer enineering,ky thuat may tinh
232,Đại học Thể dục thể thao ,dai hoc the duc the thao,dai hoc the duc the thao,Bóng rổ,bong ro,CannotFound
233,đại học quốc tế Hồng Bàng ,dai hoc quoc te hong bang,dai hoc quoc te hong bang,ngôn ngữ anh ,ngon ngu anh,ngon ngu anh
234,Khoa ngoại ngữ- Đại học Thái Nguyên,khoa ngoai ngu dai hoc thai nguyen,khoa ngoai ngu dai hoc thai nguyen,Cử nhân Anh ngữ,cu nhan anh ngu,CannotFound
235,ĐH Mỏ Địa Chất,dai hoc mo dia chat,dai hoc mo dia chat,Trắc Địa - Địa Chính,trac dia dia chinh,CannotFound
236,ĐH Kinh tế Quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Quản trị doanh nghiệp (MBA),quan tri doanh nghiep,quan tri moi truong doanh nghiep
237,cao đẳng du lịch hà nội,cao dang du lich ha noi,cao dang du lich ha noi,hướng dẫn viên,huong dan vien,CannotFound
238,Đại học Kinh tế Huế,dai hoc kinh te hue,dai hoc kinh te hue,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
239,Cao Đẳng Công Nghệ_ Đại Học Đà Nẵng,cao dang cong nghe dai hoc da nang,cao dang cong nghe dai hoc da nang,Kỹ Thuật Xây Dựng Công Trình,ky thuat xay dung cong trinh,ky thuat xay dung cong trinh bien
240,Đại học kinh tế Đà Nẵng,dai hoc kinh te da nang,dai hoc kinh te da nang,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
241,Đại học khoa học công nghệ Lille 1,dai hoc khoa hoc cong nghe lille 1,dai hoc khoa hoc cong nghe lille 1,Cơ khí,co khi,CannotFound
242,"Đại học tổng hợp Saint-Petersburg, LB Nga",dai hoc tong hop saint petersburg lb nga,dai hoc tong hop saint petersburg lb nga,Tiến sỹ kinh tế,tien sy kinh te,kinh te
243,Đại học giao thông vận tải,dai hoc giao thong van tai,dai hoc giao thong van tai,Cơ khí ô tô,co khi o to,CannotFound
244,Đại học công nghệ giao thông vận tải,dai hoc cong nghe giao thong van tai,dai hoc cong nghe giao thong van tai,Cơ khí ô tô,co khi o to,CannotFound
245,Học viện tài chính,hoc vien tai chinh,hoc vien tai chinh,Tài chính - Ngân hàng,tai chinh ngan hang,tai chinh ngan hang
246,University of Sunderland,university of sunderland,university of sunderland,Banking and Financial,banking and financial,CannotFound
247,Đại học Sư phạm TP.HCM,dai hoc su pham hcm,dai hoc su pham hcm,Tâm lí học,tam li hoc,tam ly hoc
248,CAO ĐẲNG CÔNG NGHỆ TP HCM,cao dang cong nghe hcm,cao dang cong nghe hcm,Công Nghệ May,cong nghe may,cong nghe det may
249,DH Nông Lâm,dai hoc nong lam,dai hoc nong lam,Cảnh quan và kỹ thuật hoa viên,canh quan ky thuat hoa vien,CannotFound
250,trường đại học kiến trúc đà nẵng,dai hoc kien truc da nang,dai hoc kien truc da nang,ngôn ngữ anh,ngon ngu anh,ngon ngu anh
251,Đại học Khoa học Tự nhiên,dai hoc khoa hoc tu nhien,dai hoc khoa hoc tu nhien,Vật Lý,vat ly,vat ly hoc
252,CNTT,cong nghe thong tin,cong nghe thong tin,CNTT,cong nghe thong tin,cong nghe thong tin
253,"University of Technology, Swinburne",university of technology swinburne,university of technology swinburne,Master of integrated Marketing,master of integrated marketing,CannotFound
254,Đại Học Kinh Tế TP. HCM,dai hoc kinh te hcm,dai hoc kinh te hcm,Quản Trị Kinh Doanh tổng hợp,quan tri kinh doanh tong hop,quan tri kinh doanh
255,cao đẳng nghề quy nhơn bình định,cao dang nghe quy nhon binh dinh,cao dang nghe quy nhon binh dinh,cơ khí chế tạo máy,co khi che tao may,CannotFound
256,Academy of Journalism and Communication,academy of journalism and communication,academy of journalism and communication,International Relations,international relations,quan he quoc te
257,Đại học Công nghiệp Thực Phẩm Tp.HCM,dai hoc cong nghiep thuc pham hcm,dai hoc cong nghiep thuc pham hcm,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
258,THCS QUẢNG CO THÀNH,trung hoc co so quang co thanh,trung hoc co so quang co thanh,cấp 2,cap 2,CannotFound
259,đại học thể dục thể thao tp hồ chí minh,dai hoc the duc the thao hcm,dai hoc the duc the thao hcm,giáo dục thể chất,giao duc the chat,giao duc the chat
260,Đại học dầu khí Trung Quốc (Bắc Kinh),dai hoc dau khi trung quoc,dai hoc dau khi trung quoc,Kinh tế và thương mại quốc tế,kinh te thuong mai quoc te,kinh te quoc te
261,THPT Phan Đăng Lưu,trung hoc pho thong phan dang luu,trung hoc pho thong phan dang luu,điện,dien,ky thuat dien
262,Cao đẳng Công nghiệp Huế,cao dang cong nghiep hue,cao dang cong nghiep hue,Điện,dien,ky thuat dien
263,"University of Social Sciences and Humanities, HCMC",university of social sciences and humanities hcm,university of social sciences and humanities hcm,Faculty of English Linguistics and Literature,faculty of english linguistics and literature,CannotFound
264,Vinh Kim High School,vinh kim high school,vinh kim high school,High school,high school,CannotFound
265,Trường cao đẳng Viễn Đông,cao dang vien dong,cao dang vien dong,điều dưỡng,dieu duong,dieu duong
266,Đại học Ngoại Thương,dai hoc ngoai thuong,dai hoc ngoai thuong,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
267,Seoul National Uni,seoul national uni,seoul national uni,Business,business,CannotFound
268,Trường Cao Đẳng điện lực Miền Trung,cao dang dien luc mien trung,cao dang dien luc mien trung,hệ thống điện,he thong dien,CannotFound
269,Đại học kinh doanh và công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,quản trị kinh doạn,quan tri kinh doan,quan tri kinh doanh
270,Đại học BKHN,dai hoc bach khoa ha noi,dai hoc bach khoa ha noi,Điện tử viễn thông,dien tu vien thong,ky thuat dien tu vien thong
271,THPT Nghề Phú Lâm,trung hoc pho thong nghe phu lam,trung hoc pho thong nghe phu lam,công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
272,Đại học Hoa Sen,dai hoc hoa sen,dai hoc hoa sen,quản trị nhân sự,quan tri nhan su,quan tri nhan luc
273,Đại học Lao động xã hội,dai hoc lao dong xa hoi,dai hoc lao dong xa hoi,Quản trị nhân lực,quan tri nhan luc,quan tri nhan luc
274,cao đẳng tài chính hải quan,cao dang tai chinh hai quan,cao dang tai chinh hai quan,quản trị nhà hàng khách sạn,quan tri nha hang khach san,quan tri khach san
275,Trường Đại học Tài chính - Marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,quản trị nhà hàng khách sạn,quan tri nha hang khach san,quan tri khach san
276,Đại Học Thủ Dầu Một,dai hoc thu dau mot,dai hoc thu dau mot,Chuyên ngành Tiếng Anh Thương Mại,chuyen nganh tieng anh thuong mai,chuyen nganh
277,Đại Học GTVT TPHCM,dai hoc giao thong van tai hcm,dai hoc giao thong van tai hcm,Kỹ Thuật Xây Dựng,ky thuat xay dung,ky thuat xay dung
278,Đại học Luật TP.HCM,dai hoc luat hcm,dai hoc luat hcm,Luật học,luat hoc,CannotFound
279,Đại học KHXH&NV,dai hoc khoa hoc xa hoi nv,dai hoc khoa hoc xa hoi nv,Khoa Nhật Bản học,khoa nhat ban hoc,nhat ban hoc
280,Đại học Bách Khoa,dai hoc bach khoa,dai hoc bach khoa,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
281,Học viện Ngân hàng,hoc vien ngan hang,hoc vien ngan hang,Tài chính - Ngân hàng,tai chinh ngan hang,tai chinh ngan hang
282,Đại học quốc tế Hồng Bàng,dai hoc quoc te hong bang,dai hoc quoc te hong bang,Kiến trúc sư công trình,kien truc su cong trinh,CannotFound
283,Đại học Kiến trúc Thành phố Hồ Chí Minh,dai hoc kien truc hcm,dai hoc kien truc hcm,Xây dựng dân dụng và công nghiệp,xay dung dan dung cong nghiep,CannotFound
284,Đại học Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,Công nghệ Sinh học,cong nghe sinh hoc,cong nghe sinh hoc
285,CĐSP Hà Nam,cao dang su pham ha nam,cao dang su pham ha nam,Giáo dục thể chất,giao duc the chat,giao duc the chat
286,Hội mỹ thuật Tp.HcM,hoi my thuat hcm,hoi my thuat hcm,Thiết kế mỹ thuật,thiet ke my thuat,CannotFound
287,THPT Quang Trung,trung hoc pho thong quang trung,trung hoc pho thong quang trung,t,t,CannotFound
288,Đại học Kinh tế Quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Kinh tế Quốc tế,kinh te quoc te,kinh te quoc te
289,Đại học Bách Khoa Thành phố Hồ Chí Minh,dai hoc bach khoa hcm,dai hoc bach khoa hcm,Kỹ thuật Hệ thống Công nghiệp,ky thuat he thong cong nghiep,ky thuat he thong cong nghiep
290,Trường Công nghệ Châu Á Thái Bình Dương (AIT),cong nghe chau a thai binh duong,cong nghe chau a thai binh duong,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
291,Đại học Kiến trúc Hà Nội,dai hoc kien truc ha noi,dai hoc kien truc ha noi,Kiến trúc công trình,kien truc cong trinh,CannotFound
292,tài chính marketing,tai chinh marketing,tai chinh marketing,Marketing tổng hợp,marketing tong hop,marketing
293,CĐ kinh tế kĩ thuật thương mại,cao dang kinh te ki thuat thuong mai,cao dang kinh te ki thuat thuong mai,tiếng anh du lịch,tieng anh du lich,du lich
294,Chuyên ngành : Quản trị kinh doanh tổng quát,chuyen nganh : quan tri kinh doanh tong quat,chuyen nganh : quan tri kinh doanh tong quat,Đại học Kinh Tế Đà Nẵng,dai hoc kinh te da nang,CannotFound
295,University of Stirling,university of stirling,university of stirling,Media and Communications,media and communications,CannotFound
296,HCMC University of Architecture,hcm university of architecture,hcm university of architecture,Design and Applied Arts,design and applied arts,CannotFound
297,Đại học Bách khoa Đà Nẵng,dai hoc bach khoa da nang,dai hoc bach khoa da nang,Công nghệ thực phẩm,cong nghe thuc pham,cong nghe thuc pham
298,Học viện tài chính,hoc vien tai chinh,hoc vien tai chinh,ngân hàng,ngan hang,tai chinh ngan hang
299,Học Viện Công Nghệ Bưu Chính Viễn Thông,hoc vien cong nghe buu chinh vien thong,hoc vien cong nghe buu chinh vien thong,Marketing truyền thông,marketing truyen thong,marketing
300,Học viện tài chính,hoc vien tai chinh,hoc vien tai chinh,tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
301,Central Queensland University (CQU),central queensland university,central queensland university,Financial Planning,financial planning,CannotFound
302,Đại học Khoa học Huế,dai hoc khoa hoc hue,dai hoc khoa hoc hue,"Toán ứng dụng (Tổng hợp Toán- Tin) Có chứng chỉ kế toán, nghiệp vụ sư phạm.",toan ung dung co chung chi ke toan nghiep vu su pham,CannotFound
303,đại học khoa học tự nhiên Hà Nội,dai hoc khoa hoc tu nhien ha noi,dai hoc khoa hoc tu nhien ha noi,khoa học môi trường,khoa hoc moi truong,khoa hoc moi truong
304,Trường đại học sư phạm tphcm,dai hoc su pham hcm,dai hoc su pham hcm,Tiếng trung,tieng trung,su pham tieng trung quoc
305,Đại Học Thăng Long,dai hoc thang long,dai hoc thang long,Quản Trị Kinh Doanh,quan tri kinh doanh,quan tri kinh doanh
306,trường cao đẳng nghề TPHCM,cao dang nghe hcm,cao dang nghe hcm,quản trị doanh doanh nghiệp vừa và nhỏ,quan tri doanh doanh nghiep vua nho,CannotFound
307,Cao đẳng Hải Dương,cao dang hai duong,cao dang hai duong,sư phạm Toán _ Hóa,su pham toan hoa,su pham toan hoc
308,Đại học Duy Tân,dai hoc duy tan,dai hoc duy tan,Kế toán-Kiểm toán,ke toan kiem toan,kiem toan
309,THPT Ngô Gia Tự,trung hoc pho thong ngo gia tu,trung hoc pho thong ngo gia tu,học sinh,hoc sinh,sinh hoc
310,trường đại học Bình Dương,dai hoc binh duong,dai hoc binh duong,luật kinh tế,luat kinh te,luat kinh te
311,ĐH Kinh doanh và Công Nghệ ,dai hoc kinh doanh cong nghe,dai hoc kinh doanh cong nghe,Công Nghệ Thông Tin,cong nghe thong tin,cong nghe thong tin
